Borough,Neighborhood,Cuisine
The Bronx,Bedford Park,"Mexican, Puerto Rican, Dominican, Korean"
The Bronx,Belmont,"Italian, Albanian"
The Bronx,City Island,"Italian, Seafood"
The Bronx,Morris Park,"Italian, Albanian"
The Bronx,Norwood,Filipino
The Bronx,Riverdale,Jewish
The Bronx,South Bronx,"Puerto Rico, Dominican"
The Bronx,Wakefield,"Jamaican, West Indian"
The Bronx,Woodlawn,Irish
Queens,Astoria,"Greek, Italian, Eastern European, Brazilian, Egyptian and other Arabic"
Queens,Bellerose,Indian and Pakistani
Queens,Flushing,Chinese and Korean
Queens,Forest Hills; Kew Gardens Hills; Rego Park,"Jewish, Russian and Uzbek"
Queens,Howard Beach; Ozone Park,Italian
Queens,Glendale,German and Polish
Queens,Jackson Heights,"Indian, Pakistani, Bangladeshi, Colombian, Ecuadorian, Peruvian, Korean, Filipino, Thai, Tibetan, Bhutanese and Mexican"
Queens,Jamaica,"Bangladeshi, Caribbean; African-American; African; Creole"
Queens,Little Neck,"Arab, Chinese, and Italian"
Queens,Richmond Hill,"Indian, Guyanese, West Indian, Pakistani, Bangladeshi"
Queens,The Rockaways,"Irish, Jewish"
Queens,Woodhaven,"Irish, Dominican, Mexican, Guyanese"
Queens,Woodside; Sunnyside,"Filipino, Irish, Mexican, Tibetan, Romanian"
Brooklyn,Bay Ridge,"Irish, Italian, Greek, Turkish, Lebanese, Palestinian, Yemeni and other Arabic"
Brooklyn,Bedford-Stuyvesant,"African-American, Jamaican, Trinidadian, Puerto Rican and West Indian"
Brooklyn,Bensonhurst,"Italian, Chinese, Turkish, Russian, Mexican, Uzbek"
Brooklyn,Borough Park,"Jewish, Italian, Mexican, Chinese"
Brooklyn,Brighton Beach,"Russian, Georgian, Turkish, Pakistani and Ukrainian"
Brooklyn,Bushwick,"Puerto Rican, Mexican, Dominican, and Ecuadorian"
Brooklyn,Canarsie,"Jamaican, West Indian, African-American"
Brooklyn,Carroll Gardens,Italian
Brooklyn,Crown Heights,"Jamaican, West Indian, and Jewish"
Brooklyn,East New York,"African-American, Dominican, and Puerto Rican"
Brooklyn,Flatbush,"Jamaican, Haitian, and Creole"
Brooklyn,Greenpoint,Polish and Ukrainian
Brooklyn,Kensington,"Bengali, Pakistani, Mexican, Uzbek, and Polish"
Brooklyn,Midwood,"Jewish, Italian, Russian, and Pakistani"
Brooklyn,Park Slope,"Italian, Irish, French, and Puerto Rican"
Brooklyn,Red Hook,"Puerto Rican, African-American, and Italian"
Brooklyn,Sheepshead Bay,"Seafood, Chinese, Russian, and Italian"
Brooklyn,Sunset Park,"Puerto Rican, Chinese, Arab, Mexican and Italian"
Brooklyn,Williamsburg,"Italian, Jewish, Dominican and Puerto Rican"
Staten Island,Port Richmond,"Mexican, Indian, Italian"
Staten Island,Rossville; South Beach; Great Kills,"Italian, Russian, Arab and Polish"
Staten Island,Tompkinsville,"Italian, Sri Lankan, Pakistani, Indian"
Manhattan,Chinatown,Chinese and Vietnamese
Manhattan,East Harlem,"Puerto Rican, Mexican, Dominican, Chinese-Cuban and Italian"
Manhattan,East Village,"Japanese, Korean, Indian and Ukrainian"
Manhattan,Greenwich Village,Italian and Middle Eastern
Manhattan,Harlem,"Italian, African-American, Latin American, West Indian, and West African"
Manhattan,Koreatown,Korean
Manhattan,Nolita,Austalian
Manhattan,Little Italy,Italian
Manhattan,Lower East Side,"Puerto Rican, Jewish, Italian, and Latin American"
Manhattan,Murray Hill,"Indian, Pakistani and Bangladeshi"
Manhattan,"Upper West Side, Manhattan","Jewish, Chinese-Latino"
Manhattan,Washington Heights,"Dominican, Puerto Rican, Italian and Jewish"
Manhattan,Upper East Side,"German, Czech, Hungarian"
,,
,,
,,
,,
