Borough,Market Name,Street Address,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round,Stellar Cooking Demonstrations,Food Activities for Kids,Location Point
Manhattan,Inwood Park Greenmarket,Isham St bet Seaman & Cooper,40.86900872,-73.92032044,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.8690087167, -73.9203204394)"
Manhattan,82nd Street Greenmarket,82nd St bet 1st & York Aves,40.77344836,-73.94895357,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7734483572999, -73.9489535725)"
Manhattan,1 Centre Street,1 Centre Street,40.7130276,-74.0037529,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Food Boxes,"(40.7130276, -74.0037529)"
Manhattan,125th Street Farmers Market,125th St & Adam Clayton Powell Jr Blvd,40.80898137,-73.94832667,Market open dates: 6/13/2017 to 11/21/2017,06/13/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8089813746999, -73.9483266703999)"
Bronx,170 Farm Stand,170th St & Townsend Ave,40.840095,-73.916827,Market open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.840095, -73.916827)"
Manhattan,175th Street Greenmarket,175th St bet Wadsworth Ave & Broadway,40.84595574,-73.93781267,Market open dates: 6/29/2017 to 11/30/2017,06/29/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.8459557405, -73.9378126725)"
Manhattan,57th Street Greenmarket,57th St & 9th Ave,40.76792538,-73.98571616,Market open dates: 5/17/2017 to 12/23/2017,05/17/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7679253828, -73.9857161617999)"
Manhattan,79th Street Greenmarket,Columbus Ave bet 78th & 81st Sts,40.78325007,-73.97454056,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7832500724, -73.9745405583999)"
Manhattan,92nd Street Greenmarket,92nd St & 1st Ave,40.78132447,-73.94613107,Market open dates: 6/25/2017 to 11/19/2017,06/25/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7813244698999, -73.9461310652)"
Manhattan,97th Street Greenmarket,97th St bet Columbus & Amsterdam Aves,40.79474389,-73.96987361,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,TRUE,Farmers Markets,"(40.7947438866, -73.9698736061999)"
Manhattan,Abingdon Square Greenmarket,W 12th St & 8th Ave,40.73755554,-74.0048296,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7375555403, -74.0048296015)"
Queens,Astoria Greenmarket,14th St bet 31st Ave & 31st Rd,40.76826578,-73.93202594,Market open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7682657793999, -73.9320259394)"
